Location,pmaterials2018,pmaterials2019,pchange_pmaterials,pmaterials_pcapita2018,pmaterials_pcapita2019,pchange_pmaterialspcapita,eBooks2018,eBooks2019,pchange_eBooks,eBooks_pcapita2018,eBooks_pcapita2019,pchange_eBookspcapita
WA,12268,11857,-3.35,1.68,1.59,-5.36,4497,5304,17.95,0.62,0.71,14.52
National,703588,686878,-2.37,2.24,2.17,-3.13,554720,615709,10.99,1.76,1.95,10.8
