Location,tc_exp_2018,tc_exp_2019,pchange_tc_exp,pp_tc_exp2018,pp_tc_exp2019,ppchange_tc_exp,pe_tc_exp2018,pe_tc_exp2019,pechange_tc_exp
WA,56235,56384,0.26,47.3,47.2,-0.21,37,38.9,5.14
National,1397561,1427447,2.14,53.2,52.4,1.5,29.5,31.1,5.42
